ID_Provinsi;Provinsi;Tahun;PDRB;Konsumsi_RT;NTL;IPM;Jumlah_Penduduk;Proporsi_Informal;Realisasi_Pajak;NO2;Proporsi_Agrikultur
16;Kalimantan Utara;2020;100423,0;1802018,56;69475,66;71,0;739800;50,93;470,59;0,013377919;16,47
16;Kalimantan Utara;2021;111530,0;1970088,82;72042,49;71,57;701800;50,74;559,19;0,014568757;16,22
16;Kalimantan Utara;2022;138675,0;2112077,46;70952,36;72,21;710000;49,0;828,19;0,01397011;14,1
16;Kalimantan Utara;2023;147279,0;2273411,1;84018,59;72,88;720100;51,38;927,2;0,016414945;14,23
17;Kepulauan Bangka Belitung;2019;75795,0;2766625,32;21164,33;71,3;1451100;46,82;1171,67;0,005569154;17,93
17;Kepulauan Bangka Belitung;2020;75519,8;2636859,29;25226,81;72,74;1531500;52,93;977,82;0,004815514;20,45
17;Kepulauan Bangka Belitung;2021;85961,3;2874023,95;25553,59;72,96;1455700;50,93;1216,04;0,005533084;19,65
17;Kepulauan Bangka Belitung;2022;95286,4;3090710,92;25129,93;73,5;1471800;49,63;1422,57;0,005922067;19,18
17;Kepulauan Bangka Belitung;2023;102527,0;3248424,93;30453,96;74,09;1492000;51,07;1247,3;0,006065538;19,49
18;Kepulauan Riau;2019;267632,0;3975136,81;35191,6;75,48;2241600;29,57;2832,33;0,004427191;3,07
18;Kepulauan Riau;2020;254095,0;4156666,51;31281,23;77,69;2183300;35,41;2227,57;0,004265907;3,17
18;Kepulauan Riau;2021;275623,0;4520488,23;34370,02;77,87;2064600;35,2;2548,32;0,004373385;3,07
18;Kepulauan Riau;2022;308740,0;4979345,1;34572,95;78,48;2089900;36,32;3105,09;0,004640935;2,99
18;Kepulauan Riau;2023;331645,0;5367782,23;38836,53;79,08;2121500;33,67;3302,86;0,004871617;2,92
19;Lampung;2019;356677,0;2171203,02;91606,56;69,57;8457600;68,49;3599,4;0,020195152;28,79
19;Lampung;2020;353025,0;1954479,67;91766,54;71,04;9419600;72,26;3294,01;0,016093943;29,73
19;Lampung;2021;371199,0;2127813,3;93334,47;71,25;9007800;71,31;3696,77;0,018369843;28,34
19;Lampung;2022;414120,0;4764940,9;67670,41;71,79;4438600;71,51;4280,26;0,018151383;27,87
19;Lampung;2023;448851,0;5186085,04;109223,95;72,48;4496600;70,67;4151,67;0,021346205;27,29
20;Maluku;2019;46152,8;1529662,61;32124,2;69,45;1768500;61,98;561,93;0,007593942;23,35
20;Maluku;2020;46263,5;1409775,05;43217,77;71,34;1945600;66,56;543,89;0,00721835;24,0
20;Maluku;2021;48893,7;1532627,51;44322,84;71,55;1848900;64,41;566,81;0,008184203;23,07
20;Maluku;2022;54078,6;1668498,71;38745,24;72,04;1869500;63,3;714,61;0,008291683;23,4
20;Maluku;2023;58487,8;1773600,34;54174,53;72,75;1895100;65,42;725,94;0,008771191;23,85
21;Maluku Utara;2019;39695,5;1443176,61;24686,91;68,7;1235700;61,69;476,07;0,003911268;21,92
21;Maluku Utara;2020;42298,9;1333800,53;34981,52;69,3;1355600;66,13;474,97;0,004360636;21,03
21;Maluku Utara;2021;52480,5;1482351,18;35360,11;69,56;1282900;63,56;593,02;0,005396219;17,97
21;Maluku Utara;2022;70902,6;1586783,11;32931,7;70,26;1299600;65,63;858,63;0,005632493;14,34
21;Maluku Utara;2023;85143,1;1705606,12;50662,58;70,98;1318500;66,08;937,82;0,006455623;12,77
22;Nusa Tenggara Barat;2019;132500,0;1357226,73;36146,14;68,14;5152400;71,02;2004,86;0,007120987;22,92
22;Nusa Tenggara Barat;2020;133614,0;1211487,48;42173,89;70,46;5646000;73,47;1792,2;0,006254578;23,18
22;Nusa Tenggara Barat;2021;140115,0;1333637,21;45267,33;70,86;5320100;73,89;1973,71;0,006603606;22,79
22;Nusa Tenggara Barat;2022;156943,0;1420366,8;45057,46;71,65;5387200;75,36;2401,15;0,00689296;21,39
22;Nusa Tenggara Barat;2023;166395,0;1495026,49;51954,93;72,37;5474000;72,3;2554,23;0,007943527;22,23
23;Nusa Tenggara Timur;2019;106732,0;1178477,28;38658,78;65,23;5437200;72,26;1397,79;0,014293121;27,92
23;Nusa Tenggara Timur;2020;106482,0;1106361,98;54114,62;66,93;5656000;76,1;1301,11;0,012639358;28,51
23;Nusa Tenggara Timur;2021;110881,0;1198249,96;59315,39;67,02;5325600;75,97;1329,4;0,013612261;29,17
23;Nusa Tenggara Timur;2022;118722,0;1260826,04;61837,06;67,63;5394400;75,24;1646,4;0,013629145;29,6
23;Nusa Tenggara Timur;2023;128523,0;1318350,42;72898,65;68,4;5481800;74,51;1706,65;0,016259547;29,31
24;Papua;2019;189511,0;2623216,12;162149,52;60,84;3347100;79,29;2047,83;0,058970631;12,76
24;Papua;2020;199187,0;1853527,35;220692,18;61,22;4542600;79,92;1457,09;0,053891336;12,28
24;Papua;2021;235487,0;2008039,59;209602,18;61,4;4303700;80,47;2318,53;0,061859856;10,84
24;Papua;2022;262520,0;2184420,52;214568,31;62,16;4356800;84,11;1958,28;0,064131629;10,3
24;Papua;2023;2879010,0;2321808,85;265516,79;63,01;4429700;84,43;1943,75;0,064817867;14,46
25;Papua Barat;2019;84357,0;2124593,54;61405,81;64,7;963600;52,25;555,21;0,01357965;10,61
25;Papua Barat;2020;83588,6;1703993,2;92168,44;65,94;1205800;57,98;512,83;0,014408058;10,85
25;Papua Barat;2021;85078,5;1914315,32;76839,3;66,11;1134100;57,92;569,81;0,015655337;10,98
25;Papua Barat;2022;91302,0;2015602,34;72058,89;66,72;1149400;60,28;728,69;0,01631225;10,45
25;Papua Barat;2023;97680,9;2095722,07;103703,17;67,47;1168400;58,55;709,85;0,015160385;8,26
26;Riau;2019;760248,0;3474016,47;158708,01;73,0;6835100;52,22;4402,48;0,047369837;22,93
26;Riau;2020;727599,0;3522242,54;154794,5;73,67;6728100;55,97;4054,47;0,039029019;26,75
26;Riau;2021;839002,0;3902165,02;160149,45;73,89;6394100;54,57;4813,55;0,042918354;26,88
26;Riau;2022;991615,0;4267012,54;124890,98;74,45;6466800;54,02;5697,33;0,042146385;25,52
26;Riau;2023;1026470,0;4559321,52;188798,16;74,95;6555800;52,13;5810,98;0,04906354;26,3
27;Sulawesi Barat;2019;46365,8;1426004,27;11018,17;65,73;1359200;71,91;377,72;0,003485819;41,5
27;Sulawesi Barat;2020;46465,9;1339564,48;15691,28;68,4;1503200;72,63;370,68;0,003613054;42,94
27;Sulawesi Barat;2021;50565,5;1511626,27;17937,59;68,64;1419200;72,8;426,09;0,003885239;43,83
27;Sulawesi Barat;2022;54028,4;1609881,44;16353,53;69,19;1436700;77,25;470,64;0,004285008;44,19
27;Sulawesi Barat;2023;58572,1;1666872,3;18819,49;69,8;1458900;73,35;457,04;0,004329701;44,72
28;Sulawesi Selatan;2019;504321,0;2593344,29;80571,34;71,66;8819500;60,55;5734,3;0,01131626;21,35
28;Sulawesi Selatan;2020;504053,0;2453258,52;93254,54;73,08;9463400;64,22;5209,06;0,010341992;21,72
