province_id,province_name,year,PDRB_resmi,konsumsi_perkapita,NTL_mean,IPM,jumlah_penduduk,pct_informal,tax_realization,NO2_median,pct_pertanian,ln_NTL,ln_NO2,ln_konsumsi,ln_penduduk,const,PDRB_lights,w_official,Y_target,Y2_geospatial,true_PDRB,underreporting_rate,shadow_economy,pct_shadow,true_PDRB_lower,true_PDRB_upper,tax_potential,tax_gap,pct_tax_gap,tax_gap_lower,tax_gap_upper
7,Gorontalo,2020,41729.9,1755185.43,18598.53,69.51,1227800,62.12,466.16,0.001701419,38.79,9.830837824320014,-6.376292670210834,14.378085067420335,14.020734507975533,1,22027.991958077604,0.44595076703531933,30814.072961432223,28989.504,40832.86825019303,0.0974829554104697,-897.0317498069708,-2.149613945413171,85891.30015308915,3444212.2124825306,483.5626450950665,17.402645095066475,3.598839834215313,551.0064659507659,40321.872756648445
7,Gorontalo,2021,43893.3,1927747.43,20918.07,69.82,1171700,62.39,531.37,0.001767584,38.92,9.948368657708844,-6.338141636570336,14.471862744533897,13.973966243656246,1,25664.381319680728,0.4448794376723908,33774.052411556906,34514.25,42949.76351819597,0.09840226857036427,-943.5364818040325,-2.149613908737854,95267.29818038172,3623715.57291005,508.6319463479828,-22.738053652017186,-4.470433643674604,596.8315854702547,42382.42867737517
7,Gorontalo,2022,47566.3,2060470.36,18528.04,70.62,1183500,64.97,596.37,0.001852967,37.99,9.827040539265038,-6.290967140795941,14.538444844799502,13.983986707936175,1,21919.51938015068,0.4348960598416979,33073.20321934757,41519.625,48192.05681086605,0.10009860954157075,625.7568108660489,1.315546533714098,104240.08506873807,3959578.712443773,570.7137280008229,-25.65627199917708,-4.495471326587764,638.0916829736285,46294.882995492844
7,Gorontalo,2023,51366.7,2206532.32,23815.83,71.25,1198400,63.73,565.7,0.002067027,37.75,10.078105764611688,-6.18164393595853,14.60693275521646,13.996497891745092,1,30379.3265294811,0.43963773850347315,39606.16793918781,46703.64,52930.020571194465,0.09949212066409474,1563.3205711944684,3.043451440708608,110596.99263636021,4334628.2750475425,626.822994542444,61.12299454244396,9.751236804428551,744.0432678769785,50767.07195573804
8,Jambi,2019,216928.0,2251310.92,78653.79,71.26,3566200,57.06,1853.48,0.0201286,27.89,11.272811095500872,-3.905613589687407,14.627023235628105,15.087011161082083,1,143578.11734969667,0.4670278348589576,177834.55423102644,177778.75,234277.62590094653,0.07782875585923361,17349.62590094653,7.99787298133322,84477.02632261226,2926529.4264812195,2774.429358552803,920.949358552803,33.194190211178714,-853.0620512036934,32803.90193424892
8,Jambi,2020,205082.0,2162621.16,77951.23,72.29,3724300,62.74,1751.91,0.016582162,30.99,11.263838653707165,-4.099427739706114,14.58683154396434,15.130389472673635,1,141913.12640819966,0.44349831470640405,169928.41538806498,170532.36,224677.8328738048,0.08821068515653004,19595.832873804786,9.55512081694385,86406.21190471038,2966575.7437649076,2660.7439500204773,908.8339500204772,34.157136766710785,-728.6456991609559,33379.719861026024
8,Jambi,2021,232294.0,2415731.92,87993.21,72.62,3548200,62.01,2074.22,0.018736288,31.53,11.385014931392519,-3.977293100767546,14.697512871615396,15.081950990608686,1,166125.61939551472,0.44638871529327745,195662.4378065875,195758.8,253244.04872803082,0.08897642549911154,20950.048728030815,9.018764465733431,92121.51626282683,3154038.08437329,2999.03894350923,924.8189435092304,30.837176873304717,-983.272290883089,35277.42988814898
8,Jambi,2022,276937.0,2658027.55,74378.79,73.11,3586400,59.98,2463.16,0.019089809,30.2,11.21692609953281,-3.9586006465328785,14.793094883137654,15.092659471823367,1,133516.99379712073,0.45462811420258226,198719.7607560584,165423.84,302231.56439170433,0.08583788316592814,25294.564391704334,9.133689030972509,102658.17421417811,3464345.2650632826,3579.172881341285,1116.0128813412853,31.180748132039447,-1247.4320731869368,38563.298137401376
8,Jambi,2023,293780.0,2840792.32,94776.88,73.73,3633200,59.73,2311.19,0.021918807,31.83,11.459280776642556,-3.820410243565908,14.859593557143548,15.105624360610195,1,182964.0790705481,0.4556639023056594,233458.89403885754,255016.94,320073.32578413194,0.08915216118527387,26293.325784131943,8.950005372772804,110426.33213773639,3914416.9719201727,3790.4636797053345,1479.2736797053344,39.026193223419334,-1003.46777658216,44045.23574380729
9,Jawa Barat,2019,2123150.0,2359019.13,303193.67,72.03,49023200,50.2,33954.6,0.037994345,8.78,12.622127055223713,-3.2703179461193934,14.673756467725308,17.707804213411393,1,829638.4525046608,0.499001996007984,1475103.2965642111,1471792.6,2240667.903519564,0.05103898269915263,117517.90351956384,5.535073052754814,80749.999935277,3175812.291558918,26535.076878916425,-7419.523121083574,-27.961189466079112,-32998.319306690035,3654.9106183091935
9,Jawa Barat,2020,2082110.0,2282408.92,278559.68,72.61,50345200,55.59,29637.1,0.032251568,9.23,12.537387606236278,-3.434188616767238,14.640741987040633,17.734413839913096,1,743098.5863655105,0.4735296903115825,1377160.2463875245,1377795.0,2196083.899969453,0.05460961465772492,113973.89996945299,5.473961508731671,84654.80121973027,3178392.272094009,26007.091468890336,-3630.0085311096627,-13.957764309983975,-28634.576754584432,8002.964000065236
9,Jawa Barat,2021,2204660.0,2459198.36,275015.78,72.96,48274200,54.61,33158.7,0.037598628,8.55,12.524583756820617,-3.2807877186137433,14.715345984882706,17.692407814417045,1,730832.0784902463,0.4779657776503202,1435271.3871174108,1436341.9,2329852.3901575506,0.05369153422165929,125192.39015755057,5.67853501934768,92444.55786424126,3371340.1770180487,27591.24285765358,-5567.457142346419,-20.17834851104597,-32063.92667544264,6766.346742373062
9,Jawa Barat,2022,2422780.0,2685163.91,246863.22,73.63,48738800,54.61,38052.8,0.039264496,8.57,12.41658969704336,-3.237434578096587,14.803252330616772,17.701985985423285,1,635105.6994474628,0.4779657776503202,1489552.8366965486,1345447.9,2560986.2187125976,0.054273053831841035,138206.21871259762,5.704447729987767,105975.54312767007,3720617.241488798,30328.441842113843,-7724.3581578861595,-25.469024086691373,-36797.78618034357,6008.555270386321
9,Jawa Barat,2023,2625230.0,2920016.44,336715.86,74.24,49306800,55.15,37173.9,0.042446049,8.44,12.7269947082869,-3.1595214447614004,14.8870998043656,17.71357256053579,1,950813.5204662356,0.4755111745126011,1747017.2672725907,1632717.6,2768934.079706572,0.05492134261721006,143704.079706572,5.473961508384865,114018.97798909651,4088318.39722909,32791.061344813905,-4382.838655186097,-13.36595546297945,-35823.631920627864,11241.95082981712
10,Jawa Tengah,2019,1360960.0,1982365.0,197918.38,71.73,34552500,57.99,17592.4,0.030083393,13.53,12.195610002467513,-3.503781987059722,14.499801134333925,17.35799046446032,1,476523.8803102835,0.46300583387350686,886022.9634150694,887509.56,1439891.1473955668,0.05990451849416866,78931.1473955668,5.799666955352604,81884.87955148933,2926194.2770882337,17051.88985542986,-540.5101445701403,-3.1697961290667425,-16622.679511432023,17061.012932463862
10,Jawa Tengah,2020,1347220.0,1807966.26,196639.83,71.88,37892300,62.75,16380.1,0.025574344,14.3,12.189129060275485,-3.666165617522291,14.407713158255707,17.450258483184687,1,472525.92495818745,0.4434589800443459,860416.8673270622,860794.75,1439822.593376271,0.06366196630452772,92602.59337627096,6.873605897794789,86419.46537240097,2878485.80649146,17051.078005458912,670.9780054589119,3.9351060692121513,-15356.678745163656,17708.326067131253
10,Jawa Tengah,2021,1419740.0,1949996.81,189655.15,72.17,36516000,60.38,17391.4,0.028818281,13.86,12.1529627020344,-3.5467453362687706,14.483338294641156,17.41326107866711,1,450823.69700864796,0.45298061242978793,889723.9973308765,888251.8,1505221.2789324366,0.06204309273092237,85481.2789324366,6.020910795810261,92497.69524012067,3085422.08891097,17825.560982738632,434.160982738631,2.435609084948577,-16295.997396845894,19147.665965356988
10,Jawa Tengah,2022,1559140.0,2130041.39,174139.72,72.8,36811100,60.16,20533.0,0.030780714,13.56,12.067613244479626,-3.4808669539593557,14.571651969421692,17.421309988092627,1,403478.0360028348,0.4538852578068265,928015.9644692315,841330.7,1663520.9853202882,0.06215673590391915,104380.98532028822,6.6947795143661395,102635.15490913634,3427323.2496897127,19700.222940592157,-832.7770594078429,-4.227246878977761,-19317.54467897025,20055.025461766134
10,Jawa Tengah,2023,1695620.0,2316139.69,260920.13,73.39,37180400,60.39,19915.2,0.034706222,13.23,12.471969624146915,-3.360836299745797,14.655412431054753,17.431292298672,1,682515.5741716358,0.45293957786031347,1141390.6651347503,949643.06,1809138.0204297085,0.06245247923923636,113518.02042970853,6.694779516030038,110923.71550391837,4108708.629810887,21424.69054930783,1509.4905493078295,7.045565236211063,-18601.587521342102,28742.121860971314
11,Jawa Timur,2019,2345550.0,2928265.67,323260.78,71.5,39744800,60.64,25484.5,0.040644476,11.36,12.686214644879282,-3.2028923439813566,14.889920884236851,17.497989572897183,1,901719.8399122552,0.45191612436731743,1554209.9701037523,1553994.4,2481584.0882577673,0.05862650473831375,136034.08825776726,5.799666954776801,81582.03937044647,3326407.531060477,29388.123273414232,3903.6232734142322,13.282996117501721,-24518.365891847152,13908.43253973531
11,Jawa Timur,2020,2299810.0,2787589.63,333027.39,73.04,41814500,63.64,23263.3,0.033649236,11.88,12.715980017832303,-3.391764927458211,14.840687848493664,17.548753727294727,1,937295.7410463439,0.4399859204505456,1536782.8313990613,1538135.0,2453777.20878199,0.0623334864993369,153967.20878199022,6.694779515785662,86261.91696798381,3374979.755647579,29058.82070988239,5795.520709882392,19.944101544050056,-22241.744509838907,16704.84839906647
11,Jawa Timur,2021,2454790.0,2985091.45,302854.97,73.48,40665700,62.64,25258.0,0.039425911,11.48,12.621009323038843,-3.2333320392344973,14.909140940855464,17.520895543255094,1,828433.8202329618,0.4438920454545455,1550360.3915073927,1550228.5,2619132.778016329,0.061702898160974816,164342.7780163288,6.694779513372989,95336.43278340598,3580399.0817431514,31017.041620307395,5759.041620307395,18.567346592258012,-24128.979689004485,17142.82376421061
11,Jawa Timur,2022,2731420.0,3310863.26,302047.42,74.05,40921100,63.86,28999.8,0.04019236,11.11,12.618339303898226,-3.214078351170148,15.01271951697527,17.527156380406822,1,825563.2905511685,0.4391357807834183,1662493.1647162975,1544868.2,2914282.5466447226,0.062492587748233346,182862.54664472258,6.694779515589788,109685.93355293886,3953072.94736153,34512.34843888898,5512.548438888978,15.972684236918994,-27700.84593599471,17814.408567649556
11,Jawa Timur,2023,2953550.0,3629214.16,401884.91,74.65,41230000,63.11,28360.8,0.044295805,11.04,12.903921033079003,-3.11686530167452,15.104526697956322,17.534676704683083,1,1196698.9590271467,0.44204756431792064,1973310.6825585999,1555133.6,3151283.6603689063,0.06255477829892404,197733.66036890633,6.694779515122693,111765.78089548672,4307450.899870904,37319.03066215898,8958.230662158978,24.00445698404088,-27037.21537425719,22650.12428766261
12,Kalimantan Barat,2019,212150.0,1829379.47,120164.33,67.65,5045700,60.11,2863.6,0.039602923,20.09,11.69661550163499,-3.2288523503144444,14.419487379882767,15.434046953383634,1,249092.66774086197,0.4540913631822723,232317.3213868242,230312.97,226063.46279161892,0.06517136989144127,13913.46279161892,6.55831383060048,83034.47002973591,3218785.1645792443,2677.153252058129,-186.44674794187085,-6.964365891214304,-1880.265503005503,35254.81623859819
12,Kalimantan Barat,2020,213950.0,1629415.04,130631.59,68.76,5695500,63.01,2588.82,0.036343051,20.91,11.780136350189432,-3.3147522624662127,14.303731637207633,15.555186947322104,1,277661.31787368935,0.4424387222369701,249472.9638016208,249037.48,229579.97443867294,0.06914603365305108,15629.974438672944,7.305433250139258,88478.97240547578,3171191.998254529,2718.7974898113516,129.97748981135146,4.7806977275225515,-1541.009063243604,34965.97486242117
12,Kalimantan Barat,2021,231321.0,1762352.86,156731.99,68.99,5414400,60.87,2987.61,0.042501218,21.28,11.962292555562339,-3.1582225446388925,14.38216032649566,15.504572628953987,1,351850.0733696522,0.4509786236132407,297494.0377560272,298060.12,257933.77915381483,0.06854160814583299,26612.77915381483,11.504696570486393,95335.11351363338,3386817.9700364573,3054.5770074918946,66.96700749189449,2.1923496224729635,-1858.605312437474,37120.732279839496
12,Kalimantan Barat,2022,255797.0,1894228.6,107669.09,69.71,5474700,58.77,3668.97,0.041812874,21.1,11.586817821023326,-3.174550996440121,14.454322242382569,15.515648037645017,1,215958.87629547072,0.4596855750666545,234271.8871001638,218108.08,273942.546092595,0.06775295911034454,18145.546092594974,7.093729047875845,104560.52703641294,3735512.4369909414,3244.160595845142,-424.80940415485793,-13.094586152699081,-2430.7134877104663,40568.78140528656
12,Kalimantan Barat,2023,274469.0,2025905.3,164214.13,70.47,5549700,59.69,3519.14,0.047524889,20.8,12.008926525891246,-3.046501726223207,14.521527220348851,15.52925443020759,1,373840.5308432018,0.45583006655118974,328543.9993256515,329789.44,295539.20281384466,0.06871915250773425,21070.202813844662,7.676714971033036,111187.31143670682,4149568.7707540616,3499.9186872275245,-19.221312772475358,-0.5491931239037329,-2202.405890362999,45622.06748253417
13,Kalimantan Selatan,2019,180558.0,1718740.36,63015.29,70.72,4216300,56.82,3579.98,0.012819526,14.31,11.051132674339872,-4.356785801652088,14.357102231654016,15.254468524167017,1,107629.77312400166,0.46807713911252574,141765.80892066818,141877.77,191029.76262501732,0.05924480605681721,10471.76262501732,5.799666935288007,84093.04282669544,3191249.9749380234,2262.2671701834065,-1317.7128298165935,-58.24744518171847,-2584.109370138545,34212.351157958765
13,Kalimantan Selatan,2020,179162.0,1708497.14,68692.08,73.09,4273400,60.82,2892.71,0.01111948,14.4,11.137389187721952,-4.499056753843033,14.351124676553056,15.267920321291024,1,120401.35401044395,0.4511820970943873,146913.10549463273,147112.45,190248.8632742636,0.06384517791163578,11086.863274263596,6.188177891664302,89208.40015748295,3262299.37792152,2253.0193810423216,-639.6906189576785,-28.39259281745443,-1836.2608257579316,35741.02267373307
